City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,74.79,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
3,Rikitea,PF,76.8,broken clouds,-23.1203,-134.9692,People ThankYou
6,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
10,Acari,PE,73.42,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
13,Saint George,US,76.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
19,Tura,IN,68.5,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
20,Hithadhoo,MV,82.74,scattered clouds,-0.6,73.0833,Scoop Guest House
21,Jati,PK,75.43,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
25,Kieta,PG,82.38,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
30,Busselton,AU,60.85,scattered clouds,-33.65,115.3333,Observatory Guest House
31,Keti Bandar,PK,77.18,few clouds,24.1447,67.4497,Haji laloo memon house
39,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
40,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Mashhad,IR,60.94,clear sky,36.297,59.6062,Khanye Sabz Hotel
44,Hobyo,SO,81.18,few clouds,5.3505,48.5268,Iftin hotel hobyo
46,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
47,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Guhagar,IN,75.83,few clouds,17.4842,73.1929,Hotel Seawinds
49,Someshwar,IN,75.06,broken clouds,13.5,75.0667,Kadinamane Homestay
51,Omboue,GA,77.58,overcast clouds,-1.5746,9.2618,Hotel Olako
53,Faanui,PF,82.0,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Andili,PH,75.31,overcast clouds,7.462,125.9701,Nueva Visayas
58,Victoria,HK,65.25,clear sky,22.2855,114.1577,Mini Hotel Central
59,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
60,Bredasdorp,ZA,60.49,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
61,Sidney,AU,68.4,clear sky,-33.8679,151.2073,The Grace Sydney
63,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
67,Garissa,KE,81.27,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
70,Daru,PG,83.3,scattered clouds,-9.0763,143.2092,Daru Lodge
72,Ponta Do Sol,PT,61.43,overcast clouds,32.6667,-17.1,Hotel do Campo
74,Sombrerete,MX,77.43,clear sky,23.6333,-103.65,Hotel Conde del Jaral
75,Gladstone,AU,76.93,few clouds,-23.85,151.25,Highpoint International Hotel
78,Praia,CV,70.36,scattered clouds,14.9215,-23.5087,LT Aparthotel
79,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
81,Hilo,US,75.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
83,Padang,ID,75.63,few clouds,-0.9492,100.3543,Mercure Padang
84,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
86,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
88,Cape Town,ZA,62.28,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
89,Port Alfred,ZA,66.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
90,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
91,Nishihara,JP,63.68,clear sky,26.1842,127.7558,Minshuku Agaihama
94,Moa,CU,78.28,broken clouds,20.6569,-74.9403,Carmen
95,Ribeira Grande,PT,60.46,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
96,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
97,Zhanakorgan,KZ,62.94,broken clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
99,Oriximina,BR,74.59,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
105,Butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
106,Kerema,PG,81.59,broken clouds,-7.9631,145.7785,Frena Lodge
107,Karratha,AU,79.66,clear sky,-20.7377,116.8463,ibis Styles Karratha
108,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
109,Atuona,PF,79.88,broken clouds,-9.8,-139.0333,Villa Enata
110,East London,ZA,71.11,broken clouds,-33.0153,27.9116,Tu Casa
116,Ongandjera,,69.48,broken clouds,-17.8833,15.0667,Abner Nekongo residential
117,Byron Bay,AU,65.71,light rain,-28.65,153.6167,Backpackers Inn
