City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nemuro,JP,2022-04-03 22:30:52,43.3236,145.575,38.46,76,0,16.02,clear sky
1,Saint-Philippe,RE,2022-04-03 22:23:47,-21.3585,55.7679,74.79,90,100,11.03,moderate rain
2,Bluff,NZ,2022-04-03 22:27:42,-46.6,168.3333,56.44,74,99,10.25,overcast clouds
3,Rikitea,PF,2022-04-03 22:25:18,-23.1203,-134.9692,76.8,67,58,10.07,broken clouds
4,Upernavik,GL,2022-04-03 22:25:02,72.7868,-56.1549,15.53,84,65,4.9,broken clouds
5,Ushuaia,AR,2022-04-03 22:24:25,-54.8,-68.3,37.06,87,40,20.71,light rain
6,Mahebourg,MU,2022-04-03 22:30:53,-20.4081,57.7,79.09,83,75,11.5,broken clouds
7,Atasu,KZ,2022-04-03 22:30:53,48.6814,71.6433,35.01,72,100,5.1,overcast clouds
8,Havre-Saint-Pierre,CA,2022-04-03 22:25:57,50.2334,-63.5986,34.16,80,0,12.66,clear sky
9,Longyearbyen,SJ,2022-04-03 22:30:53,78.2186,15.6401,8.44,56,20,21.85,few clouds
10,Acari,PE,2022-04-03 22:30:54,-15.4311,-74.6158,73.42,74,17,5.35,few clouds
11,Port Lincoln,AU,2022-04-03 22:26:35,-34.7333,135.8667,59.77,81,2,2.95,clear sky
12,Matagami,CA,2022-04-03 22:29:17,49.7502,-77.6328,42.91,49,40,14.97,scattered clouds
13,Saint George,US,2022-04-03 22:28:37,37.1041,-113.5841,76.62,19,0,11.01,clear sky
14,Bethel,US,2022-04-03 22:23:03,41.3712,-73.414,42.89,89,100,3.0,overcast clouds
15,Solnechnyy,RU,2022-04-03 22:28:49,50.7214,136.6319,35.17,83,100,8.05,overcast clouds
16,Aykhal,RU,2022-04-03 22:30:54,66.0,111.5,3.02,97,100,8.57,overcast clouds
17,Yellowknife,CA,2022-04-03 22:25:27,62.456,-114.3525,26.42,62,40,18.41,scattered clouds
18,Khatanga,RU,2022-04-03 22:25:29,71.9667,102.5,-32.35,100,99,3.31,overcast clouds
19,Tura,IN,2022-04-03 22:28:57,25.5198,90.2201,68.5,97,21,6.4,few clouds
20,Hithadhoo,MV,2022-04-03 22:25:22,-0.6,73.0833,82.74,70,32,5.48,scattered clouds
21,Jati,PK,2022-04-03 22:30:55,24.3539,68.2671,75.43,66,6,9.8,clear sky
22,Fortuna,US,2022-04-03 22:30:55,40.5982,-124.1573,59.94,67,0,12.66,clear sky
23,New Norfolk,AU,2022-04-03 22:25:23,-42.7826,147.0587,56.91,89,97,1.7,overcast clouds
24,Hamilton,US,2022-04-03 22:24:13,39.1834,-84.5333,58.75,44,40,9.22,scattered clouds
25,Kieta,PG,2022-04-03 22:29:15,-6.2167,155.6333,82.38,76,78,2.46,broken clouds
26,Westport,US,2022-04-03 22:30:55,41.1415,-73.3579,45.01,93,100,1.01,mist
27,Hobart,AU,2022-04-03 22:27:41,-42.8794,147.3294,58.05,93,75,8.05,broken clouds
28,Dashitou,CN,2022-04-03 22:30:56,43.3067,128.5114,45.23,45,0,9.66,clear sky
29,Punta Arenas,CL,2022-04-03 22:23:52,-53.15,-70.9167,42.91,65,20,20.71,few clouds
30,Busselton,AU,2022-04-03 22:25:28,-33.65,115.3333,60.85,82,30,14.2,scattered clouds
31,Keti Bandar,PK,2022-04-03 22:30:56,24.1447,67.4497,77.18,68,15,10.11,few clouds
32,Brigantine,US,2022-04-03 22:30:56,39.4101,-74.3646,53.06,64,20,23.02,few clouds
33,Barrow,US,2022-04-03 22:22:21,71.2906,-156.7887,-5.78,77,0,18.41,clear sky
34,Leningradskiy,RU,2022-04-03 22:29:17,69.3833,178.4167,-11.06,98,91,3.0,overcast clouds
35,Mataura,NZ,2022-04-03 22:25:27,-46.1927,168.8643,54.52,79,95,1.72,overcast clouds
36,Dikson,RU,2022-04-03 22:23:59,73.5069,80.5464,-2.72,99,36,9.33,scattered clouds
37,Srednekolymsk,RU,2022-04-03 22:27:45,67.45,153.6833,-4.92,98,96,2.95,overcast clouds
38,Czluchow,PL,2022-04-03 22:30:57,53.6672,17.3588,34.05,62,94,5.99,light snow
39,Georgetown,MY,2022-04-03 22:29:32,5.4112,100.3354,76.95,93,20,2.3,few clouds
40,Puerto Ayora,EC,2022-04-03 22:26:34,-0.7393,-90.3518,82.36,93,62,10.0,broken clouds
41,Aklavik,CA,2022-04-03 22:30:57,68.2191,-135.0107,-5.1,85,100,11.54,overcast clouds
42,Mashhad,IR,2022-04-03 22:27:58,36.297,59.6062,60.94,39,0,9.22,clear sky
43,Verkhnevilyuysk,RU,2022-04-03 22:26:34,63.4453,120.3167,-6.92,100,94,3.56,overcast clouds
44,Hobyo,SO,2022-04-03 22:25:25,5.3505,48.5268,81.18,75,17,9.08,few clouds
45,Beringovskiy,RU,2022-04-03 22:30:36,63.05,179.3167,0.36,75,32,17.43,scattered clouds
46,Vaini,TO,2022-04-03 22:25:21,-21.2,-175.2,75.36,94,75,4.61,broken clouds
47,Arraial Do Cabo,BR,2022-04-03 22:25:15,-22.9661,-42.0278,76.86,88,40,4.61,scattered clouds
48,Guhagar,IN,2022-04-03 22:30:58,17.4842,73.1929,75.83,83,20,1.54,few clouds
49,Someshwar,IN,2022-04-03 22:30:58,13.5,75.0667,75.06,92,53,1.3,broken clouds
50,Airai,TL,2022-04-03 22:30:58,-8.9266,125.4092,62.44,72,35,1.32,scattered clouds
51,Omboue,GA,2022-04-03 22:30:58,-1.5746,9.2618,77.58,89,91,2.46,overcast clouds
